signal_date,ticker,name,condition_id,matched_conditions,foreign_net_sell_streak,foreign_qty,foreign_net_sell_2d_qty,foreign_net_sell_3d_qty,foreign_volume_ratio_pct,event_close
2026-05-14,010140,삼성중공업,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-1705946,-3122940,-8044946,20.35,30150
2026-05-14,098460,고영,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-1373885,-1668626,-1605156,22.31,40150
2026-05-14,298040,효성중공업,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-14836,-16086,-7068,24.73,4025000
2026-05-14,086280,현대글로비스,foreign_sell_streak_13,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",13,-250776,-403088,-432893,28.37,263000
2026-05-14,254490,미래반도체,foreign_sell_streak_7,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct",7,-23126,-82694,-210083,0.53,43000
2026-05-14,086520,에코프로,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-67324,-99445,-16080,5.37,142300
2026-05-14,247540,에코프로비엠,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-35301,-142774,-173286,4.37,209000
2026-05-14,319400,현대무벡스,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-74036,-140426,-143888,2.13,43850
2026-05-14,036930,주성엔지니어링,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-102402,-251185,-379956,13.43,168000
2026-05-14,131970,두산테스나,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-69331,-77108,-92428,11.78,190100
2026-05-14,090710,휴림로봇,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-207910,-1111039,-295150,2.63,12630
2026-05-14,141080,리가켐바이오,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-37400,-104762,52735,7.86,195900
2026-05-14,108490,로보티즈,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-67601,-128245,-201959,26.51,341000
